,,Kharif,Rabi,Summer
rice,.andaman_and_nicobar_islands,4299.75,,
rice,.andhra_pradesh,2042475.75,2042475.75,
rice,.arunachal_pradesh,52920,,
rice,.assam,776459.25,776459.25,776459.25
rice,.bihar,,1020043.5,1449535.5
rice,.chandigarh,378,,
rice,.dadra_and_nagar_haveli,4488.75,4488.75,
rice,.goa,30381.75,30381.75,
rice,.gujarat,2407198.5,,2407198.5
rice,.haryana,1222452,,
rice,.himachal_pradesh,175959,,
rice,.jammu_and_kashmir,221082.75,,
rice,.jharkhand,298289.25,298289.25,
rice,.karnataka,1606673.25,1606673.25,2283167.25
rice,.kerala,495936,495936,495936
rice,.madhya_pradesh,4418016.75,,
rice,.maharashtra,4291481.25,,4291481.25
rice,.manipur,67756.5,67756.5,
rice,.meghalaya,64496.25,64496.25,64496.25
rice,.mizoram,,22302,
rice,.nagaland,,92704.5,
rice,.odisha,677435.5,962671.5,962671.5
rice,.puducherry,4961.25,4961.25,4961.25
rice,.punjab,1487430,,
rice,.rajasthan,4668961.5,,
rice,.sikkim,26649,,
rice,.tamil_nadu,1083064.5,,
rice,.telangana,1096483.5,1096483.5,
rice,.tripura,89916.75,,
rice,.uttar_pradesh,4904691.75,,4904691.75
rice,.uttarakhand,210357,210357,210357
rice,.west_bengal,,1267490,1801170
wheat,.andhra_pradesh,,1437297.75,
wheat,.arunachal_pradesh,,52920,
wheat,.assam,,776459.25,
wheat,.bihar,,1449535.5,
wheat,.chandigarh,,378,
wheat,.chhattisgarh,,1076402.25,
wheat,.dadra_and_nagar_haveli,,4488.75,
wheat,.gujarat,,2407198.5,
wheat,.haryana,,1222452,
wheat,.himachal_pradesh,,175959,
wheat,.jammu_and_kashmir,,221082.75,
wheat,.jharkhand,,298289.25,
wheat,.madhya_pradesh,,4418016.75,
wheat,.maharashtra,,4291481.25,
wheat,.mizoram,,15694,
wheat,.nagaland,,92704.5,
wheat,.odisha,,677435.5,962671.5
wheat,.punjab,,1487430,
wheat,.rajasthan,,4668961.5,
wheat,.sikkim,,26649,
wheat,.telangana,,1096483.5,
wheat,.tripura,,89916.75,
wheat,.uttar_pradesh,,4904691.75,
wheat,.uttarakhand,,210357,
cotton,.andhra_pradesh,2042475.75,,
cotton,.assam,776459.25,,
cotton,.bihar,1020043.5,,
cotton,.chhattisgarh,1076402.25,,
cotton,.gujarat,2407198.5,,
cotton,.haryana,1222452,,
cotton,.jammu_and_kashmir,155576.75,,
cotton,.karnataka,2283167.25,2283167.25,
cotton,.kerala,495936,,
cotton,.madhya_pradesh,4418016.75,,
cotton,.maharashtra,4291481.25,,
cotton,.manipur,,67756.5,
cotton,.meghalaya,64496.25,45386.25,
cotton,.mizoram,22302,,
cotton,.nagaland,92704.5,,
cotton,.odisha,962671.5,,
cotton,.puducherry,4961.25,,4961.25
cotton,.punjab,1487430,,
cotton,.rajasthan,4668961.5,,
cotton,.tamil_nadu,1083064.5,,
cotton,.telangana,1096483.5,,
cotton,.tripura,89916.75,,
cotton,.uttar_pradesh,4904691.75,,
cotton,.west_bengal,1801170,,
maize,.andaman_and_nicobar_islands,,4299.75,
maize,.andhra_pradesh,2042475.75,2042475.75,
maize,.arunachal_pradesh,52920,,
maize,.assam,546397.25,,
maize,.bihar,1449535.5,1449535.5,1449535.5
maize,.chandigarh,378,,
maize,.dadra_and_nagar_haveli,4488.75,4488.75,
maize,.gujarat,2407198.5,2407198.5,2407198.5
maize,.haryana,1222452,,
maize,.himachal_pradesh,123823,,
maize,.jammu_and_kashmir,221082.75,,
maize,.jharkhand,298289.25,,
maize,.karnataka,2283167.25,2283167.25,2283167.25
maize,.maharashtra,3019931.25,4291481.25,4291481.25
maize,.manipur,67756.5,,
maize,.meghalaya,45386.25,,
maize,.mizoram,15694,22302,
maize,.nagaland,,65236.5,
maize,.odisha,962671.5,962671.5,962671.5
maize,.punjab,1487430,,
maize,.rajasthan,3285565.5,,
maize,.sikkim,26649,,
maize,.tamil_nadu,1083064.5,,
maize,.telangana,1096483.5,1096483.5,
maize,.tripura,63274.75,,
maize,.uttar_pradesh,4904691.75,4904691.75,4904691.75
maize,.uttarakhand,,148029,210357
maize,.west_bengal,1267490,1801170,1801170
horsegram,.andhra_pradesh,,2042475.75,
horsegram,.chhattisgarh,1076402.25,1076402.25,
horsegram,.haryana,860244,,
horsegram,.madhya_pradesh,,4418016.75,
horsegram,.odisha,,,677435.5
horsegram,.tamil_nadu,762156.5,,
horsegram,.telangana,,771599.5,
horsegram,.uttarakhand,148029,,
horsegram,.west_bengal,,1801170,
jute,.assam,776459.25,,
jute,.bihar,1449535.5,,
jute,.madhya_pradesh,4418016.75,,
jute,.manipur,67756.5,,67756.5
jute,.meghalaya,64496.25,64496.25,
jute,.nagaland,92704.5,,
jute,.odisha,962671.5,,
jute,.tripura,89916.75,,
jute,.west_bengal,1801170,,
potato,.bihar,1449535.5,1449535.5,
potato,.chhattisgarh,1076402.25,1076402.25,
potato,.himachal_pradesh,175959,175959,
potato,.jammu_and_kashmir,221082.75,221082.75,
potato,.jharkhand,,298289.25,
potato,.karnataka,2283167.25,2283167.25,2283167.25
potato,.manipur,47680.5,67756.5,67756.5
potato,.meghalaya,,64496.25,
potato,.mizoram,22302,22302,
potato,.nagaland,92704.5,92704.5,
potato,.odisha,,962671.5,
potato,.uttar_pradesh,,4904691.75,
potato,.uttarakhand,210357,210357,
potato,.west_bengal,,1801170,1801170
soyabean,.andhra_pradesh,1437297.75,,
soyabean,.arunachal_pradesh,52920,,
soyabean,.chhattisgarh,757468.25,,
soyabean,.gujarat,1693954.5,,
soyabean,.himachal_pradesh,175959,,
soyabean,.madhya_pradesh,3108974.75,,
soyabean,.maharashtra,4291481.25,4291481.25,
soyabean,.manipur,,47680.5,
soyabean,.mizoram,22302,,
soyabean,.nagaland,65236.5,,
soyabean,.rajasthan,4668961.5,,
soyabean,.sikkim,26649,,
soyabean,.telangana,771599.5,,
soyabean,.uttar_pradesh,3451449.75,,
soyabean,.uttarakhand,210357,,
soyabean,.west_bengal,1801170,,