,,Rabi , Summer
wheat,.andhra_pradesh,1437297.75,
wheat,.arunachal_pradesh,52920,
wheat,.assam,776459.25,
wheat,.chandigarh,378,
wheat,.dadra_and_nagar_haveli,4488.75,
wheat,.gujarat,2407198.5,
wheat,.haryana,1222452,
wheat,.himachal_pradesh,175959,
wheat,.jammu_and_kashmir,221082.75,
wheat,.jharkhand,298289.25,
wheat,.madhya_pradesh,4418016.75,
wheat,.maharashtra,4291481.25,
wheat,.odisha,677435.500  962671.500,
wheat,.punjab,1487430,
wheat,.rajasthan,4668961.5,
wheat,.sikkim,26649,
wheat,.telangana,1096483.5,
wheat,.tripura,89916.75,
wheat,.uttar_pradesh,4904691.75,
wheat,.uttarakhand,210357,
cotton,.karnataka,2283167.25,
cotton,.manipur,67756.5,
cotton,.meghalaya,45386.25,
soyabean,.maharashtra,4291481.25,